,acisw_003,,,bresee_000,,intellifusion_002,,,shaman_000,,,yitu_003,
,0.0002,0.0010,,0.0002,0.0010,0.0002,0.0010,,0.0002,0.0010,,0.0002,0.0010
,0.0020,0.0002,,0.0018,0.0001,0.0021,0.0002,,0.0020,0.0002,,0.0023,0.0002
0.0006,0.0030,,0.0006,0.0030,,0.0006 0.0033,,0.0006,0.0030,,0.0006,0.0036,
0.0124,0.0006,,0.0124,0.0006,,0.0124 0.0006,,0.0124,0.0006,,0.0125,0.0006,
,asusaics_001,,,kneron_005,,asusaics_000,,,expasoft_000,,,3divi_005,
,0.0002,0.0010,,0.0002,0.0010,0.0002,0.0010,,0.0002,0.0010,,0.0002,0.0010
,0.0019,0.0002,,0.0022,0.0002,0.0019,0.0002,,0.0024,0.0002,,0.0023,0.0002
0.0006,0.0030,,0.0006,0.0032,,0.0006 0.0030,,0.0006,0.0030,,0.0007,0.0029,
0.0125,0.0006,,0.0125,0.0006,,0.0125 0.0006,,0.0125,0.0005,,0.0127,0.0007,
,mvision_001,,,innovativetechnologyltd_001,,smilart_003,,,synology_000,,,winsense_001,
,0.0002,0.0010,,0.0001,0.0010,0.0002,0.0010,,0.0002,0.0010,,0.0001,0.0010
,0.0029,0.0002,,0.0025,0.0001,0.0027,0.0002,,0.0018,0.0001,,0.0020,0.0001
0.0003,0.0011,,0.0003,0.0035,,0.0004 0.0026,,0.0006,0.0032,,0.0006,0.0039,
0.0127,0.0003,,0.0128,0.0003,,0.0129 0.0005,,0.0129,0.0006,,0.0130,0.0005,
,siat_004,,,ctbcbank_000,,idemia_005,,,innefulabs_000,,,securifai_001,
,0.0002,0.0010,,0.0001,0.0010,0.0002,0.0010,,0.0001,0.0010,,0.0004,0.0010
,0.0033,0.0002,,0.0014,0.0001,0.0034,0.0002,,0.0017,0.0001,,0.0103,0.0004
0.0004,0.0025,,0.0006,0.0032,,0.0004 0.0034,,0.0006,0.0031,,0.0003,0.0014,
0.0130,0.0004,,0.0132,0.0005,,0.0132 0.0004,,0.0133,0.0006,,0.0133,0.0005,
,chtface_002,,,decatur_000,,visionbox_000,,,x−laboratory_000,,,allgovision_000,
,0.0002,0.0010,,0.0001,0.0010,0.0002,0.0010,,0.0002,0.0010,,0.0002,0.0010
,0.0020,0.0002,,0.0019,0.0001,0.0024,0.0002,,0.0021,0.0002,,0.0023,0.0002
0.0007,0.0036,,0.0004,0.0033,,0.0006 0.0035,,0.0007,0.0037,,0.0007,0.0037,
0.0134,0.0007,,0.0134,0.0004,,0.0134 0.0006,,0.0134,0.0007,,0.0135,0.0007,
,expasoft_001,,,x−laboratory_001,,bm_001,,,imagus_000,,,notiontag_000,
,0.0002,0.0010,,0.0001,0.0010,0.0020,0.0010,,0.0001,0.0010,,0.0002,0.0010
,0.0022,0.0002,,0.0021,0.0001,0.0102,0.0020,,0.0023,0.0001,,0.0031,0.0001
